Season,Round,Age,Location,Replicate,% moisture,Wet weight g,Protein g/100g dry weight,Protein g/100g wet weight,fat g/100g dry weight,fat g/100g wet weight,fat mg/g dry weight,fat mg/g wet weight,total fat (g/cm2),protein g/cm2,No. of days,average dry weight accumulation (g/m2/day),average daily fat accumulation (g/m2/day),average daily protein accumulation (g/m2/day),dry weight,name,value
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,Fat~(g/m^2),2.891519999999997
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,Dry~weight~(g),0.7529999999999992
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,Protein~(g/m^2),20.07999999999998
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,EPA~(g/m^2),0.052902687434322415
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,SFA~(g/m^2),1.2197519628878775
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,MUFA~(g/m^2),0.47175396490345767
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,PUFA~(g/m^2),0.33972725800214876
Spring/Summer,1,13,Berth C,A,87.5,6.0084,5,0.6,0.72,0.09,7.2,0.9,2.891519999999997e-4,0.002007999999999998,13,0.05792307692307686,0.22242461538461517,1.5446153846153832,0.753,ω3~PUFA~(g/m^2),0.20172024730391644
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,Fat~(g/m^2),3.168144000000002
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,Dry~weight~(g),0.9429000000000007
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,Protein~(g/m^2),19.612320000000015
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,EPA~(g/m^2),0.10815184305175274
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,SFA~(g/m^2),1.304361530386953
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,MUFA~(g/m^2),0.5442804380557975
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,PUFA~(g/m^2),0.43612859500404483
Spring/Summer,1,13,Berth C,B,79.1,4.5179,3.9,0.8,0.63,0.13,6.3,1.3,3.168144000000002e-4,0.0019612320000000016,13,0.07253076923076929,0.24370338461538477,1.508640000000001,0.9429,ω3~PUFA~(g/m^2),0.28220085559085256
Spring/Summer,1,13,Berth C,C,81.8,6.0632,7.1,1.3,0.88,0.16,8.8,1.6,5.191295999999998e-4,0.004188431999999998,13,0.08508461538461536,0.39933046153846136,3.221870769230768,1.1061,Fat~(g/m^2),5.191295999999998
