Season,Round,Age,Location,name,value
Spring/Summer,1,13,Berth C,Dry~weight~(g~m^-2),4.015999999999996
Spring/Summer,1,13,Berth C,Fat~(g~m^-2),0.02891519999999997
Spring/Summer,1,13,Berth C,Protein~(g~m^-2),0.2007999999999998
Spring/Summer,1,13,Berth C,EPA~(g~m^-2),5.290268743432242e-4
Spring/Summer,1,13,Berth C,SFA~(g~m^-2),0.012197519628878783
Spring/Summer,1,13,Berth C,MUFA~(g~m^-2),0.004717539649034577
Spring/Summer,1,13,Berth C,PUFA~(g~m^-2),0.0033972725800214885
Spring/Summer,1,13,Berth C,ω-3~PUFA~(g~m^-2),0.0020172024730391643
Spring/Summer,1,13,Berth C,Dry~weight~(g~m^-2),5.028800000000004
Spring/Summer,1,13,Berth C,Fat~(g~m^-2),0.031681440000000026
Spring/Summer,1,13,Berth C,Protein~(g~m^-2),0.19612320000000016
Spring/Summer,1,13,Berth C,EPA~(g~m^-2),0.0010815184305175273
Spring/Summer,1,13,Berth C,SFA~(g~m^-2),0.013043615303869528
Spring/Summer,1,13,Berth C,MUFA~(g~m^-2),0.005442804380557976
Spring/Summer,1,13,Berth C,PUFA~(g~m^-2),0.004361285950040448
Spring/Summer,1,13,Berth C,ω-3~PUFA~(g~m^-2),0.0028220085559085254
Spring/Summer,1,13,Berth C,Dry~weight~(g~m^-2),5.899199999999999
Spring/Summer,1,13,Berth C,Fat~(g~m^-2),0.05191295999999999
Spring/Summer,1,13,Berth C,Protein~(g~m^-2),0.4188431999999998
Spring/Summer,1,13,Berth C,EPA~(g~m^-2),0.0033521359101339465
Spring/Summer,1,13,Berth C,SFA~(g~m^-2),0.015908161035252954
Spring/Summer,1,13,Berth C,MUFA~(g~m^-2),0.006426996380787679
Spring/Summer,1,13,Berth C,PUFA~(g~m^-2),0.015101165353183668
Spring/Summer,1,13,Berth C,ω-3~PUFA~(g~m^-2),0.010590266412386135
Spring/Summer,1,13,Berth G,Dry~weight~(g~m^-2),5.6975999999999996
Spring/Summer,1,13,Berth G,Fat~(g~m^-2),0.047290080000000005
Spring/Summer,1,13,Berth G,Protein~(g~m^-2),0.2677872
Spring/Summer,1,13,Berth G,EPA~(g~m^-2),0.001665783932121419
Spring/Summer,1,13,Berth G,SFA~(g~m^-2),0.020633005522867582
Spring/Summer,1,13,Berth G,MUFA~(g~m^-2),0.008090409688507893
Spring/Summer,1,13,Berth G,PUFA~(g~m^-2),0.005996822155637108
Spring/Summer,1,13,Berth G,ω-3~PUFA~(g~m^-2),0.0034527157865789416
Spring/Summer,1,13,Berth G,Dry~weight~(g~m^-2),5.138666666666661
Spring/Summer,1,13,Berth G,Fat~(g~m^-2),0.04367866666666662
Spring/Summer,1,13,Berth G,Protein~(g~m^-2),0.334013333333333
Spring/Summer,1,13,Berth G,EPA~(g~m^-2),0.0024342401042444
Spring/Summer,1,13,Berth G,SFA~(g~m^-2),0.015826038163451805
Spring/Summer,1,13,Berth G,MUFA~(g~m^-2),0.006711547715988131
Spring/Summer,1,13,Berth G,PUFA~(g~m^-2),0.009152742791958943
Spring/Summer,1,13,Berth G,ω-3~PUFA~(g~m^-2),0.006235132152728869
Spring/Summer,1,13,Berth G,Dry~weight~(g~m^-2),3.886399999999999
Spring/Summer,1,13,Berth G,Fat~(g~m^-2),0.03186847999999999
Spring/Summer,1,13,Berth G,Protein~(g~m^-2),0.2020928
Spring/Summer,1,13,Berth G,EPA~(g~m^-2),0.0018086748039788261
Spring/Summer,1,13,Berth G,SFA~(g~m^-2),0.012171617201987084
Spring/Summer,1,13,Berth G,MUFA~(g~m^-2),0.0047127442075504625
Spring/Summer,1,13,Berth G,PUFA~(g~m^-2),0.006129114899116979
Spring/Summer,1,13,Berth G,ω-3~PUFA~(g~m^-2),0.0041293828975347575
Spring/Summer,1,32,Berth C,Dry~weight~(g~m^-2),13.200000000000003
Spring/Summer,1,32,Berth C,Fat~(g~m^-2),0.12144000000000002
Spring/Summer,1,32,Berth C,Protein~(g~m^-2),1.5972000000000002
Spring/Summer,1,32,Berth C,EPA~(g~m^-2),0.008171123922582258
Spring/Summer,1,32,Berth C,SFA~(g~m^-2),0.039941231935860404
Spring/Summer,1,32,Berth C,MUFA~(g~m^-2),0.018949225477607422
Spring/Summer,1,32,Berth C,PUFA~(g~m^-2),0.02664370050470572
Spring/Summer,1,32,Berth C,ω-3~PUFA~(g~m^-2),0.018462849053644193
Spring/Summer,1,32,Berth C,Dry~weight~(g~m^-2),14.436800000000002
Spring/Summer,1,32,Berth C,Fat~(g~m^-2),0.12704384000000002
Spring/Summer,1,32,Berth C,Protein~(g~m^-2),0.9528288
Spring/Summer,1,32,Berth C,EPA~(g~m^-2),0.007028200082896484
Spring/Summer,1,32,Berth C,SFA~(g~m^-2),0.04555088517494649
Spring/Summer,1,32,Berth C,MUFA~(g~m^-2),0.021115157640354217
Spring/Summer,1,32,Berth C,PUFA~(g~m^-2),0.024507028115143385
Spring/Summer,1,32,Berth C,ω-3~PUFA~(g~m^-2),0.015757428301798347
Spring/Summer,1,32,Berth C,Dry~weight~(g~m^-2),16.967466666666674
Spring/Summer,1,32,Berth C,Fat~(g~m^-2),0.14082997333333336
Spring/Summer,1,32,Berth C,Protein~(g~m^-2),1.2216576000000006
Spring/Summer,1,32,Berth C,EPA~(g~m^-2),0.006865176639961744
Spring/Summer,1,32,Berth C,SFA~(g~m^-2),0.05253548287760889
Spring/Summer,1,32,Berth C,MUFA~(g~m^-2),0.023859302420850652
Spring/Summer,1,32,Berth C,PUFA~(g~m^-2),0.026233978275001353
Spring/Summer,1,32,Berth C,ω-3~PUFA~(g~m^-2),0.016566459039383093
Spring/Summer,1,32,Berth G,Dry~weight~(g~m^-2),23.3008
Spring/Summer,1,32,Berth G,Fat~(g~m^-2),0.25863888
Spring/Summer,1,32,Berth G,Protein~(g~m^-2),2.7727952000000005
Spring/Summer,1,32,Berth G,EPA~(g~m^-2),0.015361524177288005
Spring/Summer,1,32,Berth G,SFA~(g~m^-2),0.08745689372826262
Spring/Summer,1,32,Berth G,MUFA~(g~m^-2),0.0395870629812003
Spring/Summer,1,32,Berth G,PUFA~(g~m^-2),0.05125351782935685
Spring/Summer,1,32,Berth G,ω-3~PUFA~(g~m^-2),0.03367080029129884
Spring/Summer,1,32,Berth G,Dry~weight~(g~m^-2),18.324799999999996
Spring/Summer,1,32,Berth G,Fat~(g~m^-2),0.21806511999999992
