"Units","FAME","Season","Age","n","min","max","median","iqr","mean","sd","se","ci"
"% FA","C12:0 lauric acid","Spring/Summer","13",12,0.44,1.1,0.75,0.18,0.753,0.178,0.051,0.113
"% FA","C12:0 lauric acid","Autumn/Winter","13",12,0,3.3,1.7,1.1,1.633,0.982,0.283,0.624
"% FA","C12:0 lauric acid","Spring/Summer","32",12,0.29,0.77,0.475,0.205,0.489,0.158,0.046,0.1
"% FA","C12:0 lauric acid","Autumn/Winter","32",12,0.36,1.4,0.625,0.29,0.71,0.282,0.081,0.179
"% FA","C12:0 lauric acid","Spring/Summer","54",12,0.27,1.3,0.535,0.427,0.67,0.361,0.104,0.23
"% FA","C12:0 lauric acid","Autumn/Winter","54",12,0.2,0.78,0.435,0.19,0.459,0.167,0.048,0.106
"% FA","C14:0 myristic acid","Spring/Summer","13",12,10.1,16.5,14.15,0.9,13.85,1.751,0.506,1.113
"% FA","C14:0 myristic acid","Autumn/Winter","13",12,11.2,16,13.35,1.975,13.675,1.56,0.45,0.991
"% FA","C14:0 myristic acid","Spring/Summer","32",12,7.2,9.4,8.65,0.625,8.592,0.613,0.177,0.389
"% FA","C14:0 myristic acid","Autumn/Winter","32",12,13.3,18.8,16.25,4.075,16.067,2.194,0.633,1.394
"% FA","C14:0 myristic acid","Spring/Summer","54",12,5,8,6.75,1.1,6.625,0.901,0.26,0.572
"% FA","C14:0 myristic acid","Autumn/Winter","54",12,8.3,15.8,11.4,3.75,11.675,2.338,0.675,1.486
"% FA","C15:0 pentadecanoic acid","Spring/Summer","13",12,0.42,0.74,0.63,0.08,0.611,0.082,0.024,0.052
"% FA","C15:0 pentadecanoic acid","Autumn/Winter","13",12,0,1.5,0.895,0.33,0.923,0.384,0.111,0.244
"% FA","C15:0 pentadecanoic acid","Spring/Summer","32",12,0.53,1.1,0.67,0.163,0.733,0.174,0.05,0.111
"% FA","C15:0 pentadecanoic acid","Autumn/Winter","32",12,0.43,0.75,0.555,0.1,0.569,0.086,0.025,0.054
"% FA","C15:0 pentadecanoic acid","Spring/Summer","54",12,0.55,1.7,1.1,0.363,1.042,0.308,0.089,0.195
"% FA","C15:0 pentadecanoic acid","Autumn/Winter","54",12,0.45,0.77,0.56,0.068,0.569,0.082,0.024,0.052
"% FA","C16:0 palmitic acid","Spring/Summer","13",12,23.3,34.7,32.85,4.9,31.483,3.467,1.001,2.203
"% FA","C16:0 palmitic acid","Autumn/Winter","13",12,22.6,33,27.4,3.9,27.633,2.986,0.862,1.897
"% FA","C16:0 palmitic acid","Spring/Summer","32",12,22.1,29.7,25.45,4.075,25.642,2.664,0.769,1.693
"% FA","C16:0 palmitic acid","Autumn/Winter","32",12,23.7,31.1,27.4,2.4,27.117,2.014,0.581,1.279
"% FA","C16:0 palmitic acid","Spring/Summer","54",12,14.9,25.3,18.25,4.425,19.108,3.333,0.962,2.118
"% FA","C16:0 palmitic acid","Autumn/Winter","54",12,23.5,38.1,32.2,6,32.542,4.147,1.197,2.635
"% FA","C16:1 palmitoleic acid","Spring/Summer","13",12,7.7,19.8,15.25,4.05,14.817,3.251,0.938,2.066
"% FA","C16:1 palmitoleic acid","Autumn/Winter","13",12,13,22.5,16.15,3.175,16.975,2.663,0.769,1.692
"% FA","C16:1 palmitoleic acid","Spring/Summer","32",12,8,10.9,9.15,1.725,9.375,1.025,0.296,0.651
"% FA","C16:1 palmitoleic acid","Autumn/Winter","32",12,23.9,30.5,27.8,2.55,27.625,1.978,0.571,1.257
"% FA","C16:1 palmitoleic acid","Spring/Summer","54",12,2.8,6.4,4.8,1.95,4.608,1.145,0.33,0.727
"% FA","C16:1 palmitoleic acid","Autumn/Winter","54",12,22.5,33.3,26.75,6.425,26.992,3.771,1.088,2.396
"% FA","C16:2n4 hexadecadienoic acid","Spring/Summer","13",12,0.73,1.1,0.915,0.158,0.922,0.117,0.034,0.075
"% FA","C16:2n4 hexadecadienoic acid","Autumn/Winter","13",12,1.7,3.3,2.45,0.65,2.4,0.497,0.144,0.316
"% FA","C16:2n4 hexadecadienoic acid","Spring/Summer","32",12,0.47,0.84,0.615,0.095,0.644,0.098,0.028,0.062
"% FA","C16:2n4 hexadecadienoic acid","Autumn/Winter","32",12,1,1.7,1.55,0.425,1.483,0.248,0.072,0.158
"% FA","C16:2n4 hexadecadienoic acid","Spring/Summer","54",12,0.23,0.53,0.375,0.15,0.378,0.103,0.03,0.065
"% FA","C16:2n4 hexadecadienoic acid","Autumn/Winter","54",12,0.65,1.2,0.8,0.112,0.8,0.145,0.042,0.092
"% FA","C17:0 heptadecanoic acid","Spring/Summer","13",12,0.24,0.7,0.345,0.13,0.373,0.143,0.041,0.091
"% FA","C17:0 heptadecanoic acid","Autumn/Winter","13",12,0,1.1,0.25,0.552,0.318,0.363,0.105,0.23
"% FA","C17:0 heptadecanoic acid","Spring/Summer","32",12,0.78,1.3,1.05,0.237,1.06,0.168,0.048,0.107
