"name","contrast","estimate","SE","df","t.ratio","p.value"
"C12:0 lauric acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.16,0.09,63,1.82,"0.459"
"C12:0 lauric acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.06,0.09,63,0.71,"0.980"
"C12:0 lauric acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.33,0.09,63,-3.67,"0.006"
"C12:0 lauric acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.03,0.09,63,0.35,">0.999"
"C12:0 lauric acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.18,0.09,63,2.06,"0.322"
"C12:0 lauric acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.1,0.09,63,-1.11,"0.874"
"C12:0 lauric acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.49,0.09,63,-5.49,"<0.001"
"C12:0 lauric acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",-0.13,0.09,63,-1.47,"0.682"
"C12:0 lauric acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.02,0.09,63,0.24,">0.999"
"C12:0 lauric acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0.39,0.09,63,-4.37,"<0.001"
"C12:0 lauric acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",-0.03,0.09,63,-0.36,">0.999"
"C12:0 lauric acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.12,0.09,63,1.35,"0.756"
"C12:0 lauric acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.36,0.09,63,4.02,"0.002"
"C12:0 lauric acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.51,0.09,63,5.72,"<0.001"
"C12:0 lauric acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.15,0.09,63,1.71,"0.531"
"C14:0 myristic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.43,0.05,63,8.47,"<0.001"
"C14:0 myristic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.67,0.05,63,13.07,"<0.001"
"C14:0 myristic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.01,0.05,63,0.2,">0.999"
"C14:0 myristic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",-0.14,0.05,63,-2.71,"0.087"
"C14:0 myristic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.17,0.05,63,3.28,"0.020"
"C14:0 myristic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.23,0.05,63,4.59,"<0.001"
