"name","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"Dry~weight~(g~m^-2)","Season",56.72,56.72,1,63,1117.47,"<0.001"
"Dry~weight~(g~m^-2)","Age",88.62,44.31,2,63,872.92,"<0.001"
"Dry~weight~(g~m^-2)","Season:Age",3.51,1.75,2,63,34.55,"<0.001"
"Fat~(g~m^-2)","Season",60.16,60.16,1,63,418.13,"<0.001"
"Fat~(g~m^-2)","Age",187.2,93.6,2,63,650.52,"<0.001"
"Fat~(g~m^-2)","Season:Age",27.74,13.87,2,63,96.38,"<0.001"
"Protein~(g~m^-2)","Season",77.49,77.49,1,63,539.39,"<0.001"
"Protein~(g~m^-2)","Age",187.25,93.63,2,63,651.68,"<0.001"
"Protein~(g~m^-2)","Season:Age",11.69,5.85,2,63,40.7,"<0.001"
"EPA~(g~m^-2)","Season",107.21,107.21,1,63,379.17,"<0.001"
"EPA~(g~m^-2)","Age",232,116,2,63,410.28,"<0.001"
"EPA~(g~m^-2)","Season:Age",21.56,10.78,2,63,38.13,"<0.001"
"SFA~(g~m^-2)","Season",53.58,53.58,1,63,381.21,"<0.001"
"SFA~(g~m^-2)","Age",171.01,85.5,2,63,608.38,"<0.001"
"SFA~(g~m^-2)","Season:Age",30.77,15.38,2,63,109.46,"<0.001"
"MUFA~(g~m^-2)","Season",34.48,34.48,1,63,231.33,"<0.001"
"MUFA~(g~m^-2)","Age",190.01,95,2,63,637.38,"<0.001"
"MUFA~(g~m^-2)","Season:Age",37.65,18.82,2,63,126.3,"<0.001"
"PUFA~(g~m^-2)","Season",106.76,106.76,1,63,439.43,"<0.001"
"PUFA~(g~m^-2)","Age",206.95,103.47,2,63,425.89,"<0.001"
"PUFA~(g~m^-2)","Season:Age",21.1,10.55,2,63,43.42,"<0.001"
"ω3~PUFA~(g~m^-2)","Season",117.2,117.2,1,63,433.38,"<0.001"
"ω3~PUFA~(g~m^-2)","Age",221.57,110.78,2,63,409.66,"<0.001"
"ω3~PUFA~(g~m^-2)","Season:Age",22.68,11.34,2,63,41.93,"<0.001"
