"name","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"C12:0 lauric acid","Season",0.23,0.23,1,63,4.78,"0.032"
"C12:0 lauric acid","Age",1.22,0.61,2,63,12.64,"<0.001"
"C12:0 lauric acid","Season:Age",0.61,0.3,2,63,6.32,"0.003"
"C14:0 myristic acid","Season",2.24,2.24,1,63,143.9,"<0.001"
"C14:0 myristic acid","Age",2.1,1.05,2,63,67.26,"<0.001"
"C14:0 myristic acid","Season:Age",1.2,0.6,2,63,38.55,"<0.001"
"C15:0 pentadecanoic acid","Season",0.08,0.08,1,66,4.8,"0.032"
"C15:0 pentadecanoic acid","Age",0.08,0.04,2,66,2.55,"0.086"
"C15:0 pentadecanoic acid","Season:Age",0.52,0.26,2,66,16.41,"<0.001"
"C16:0 palmitic acid","Season",0.4,0.4,1,66,29.25,"<0.001"
"C16:0 palmitic acid","Age",0.34,0.17,2,66,12.3,"<0.001"
"C16:0 palmitic acid","Season:Age",1.31,0.66,2,66,48.08,"<0.001"
"C16:1 palmitoleic acid","Season",15.43,15.43,1,66,609.19,"<0.001"
"C16:1 palmitoleic acid","Age",1.57,0.79,2,66,31.09,"<0.001"
"C16:1 palmitoleic acid","Season:Age",6.64,3.32,2,66,131.02,"<0.001"
"C16:2n4 hexadecadienoic acid","Season",3.07,3.07,1,63,431.34,"<0.001"
"C16:2n4 hexadecadienoic acid","Age",2.78,1.39,2,63,195.4,"<0.001"
"C16:2n4 hexadecadienoic acid","Season:Age",0.26,0.13,2,63,18.38,"<0.001"
"C17:0 heptadecanoic acid","Season",4.17,4.17,1,63,260.09,"<0.001"
"C17:0 heptadecanoic acid","Age",0.83,0.41,2,63,25.71,"<0.001"
"C17:0 heptadecanoic acid","Season:Age",1.55,0.78,2,63,48.32,"<0.001"
"C18:0 stearic acid","Season",6.4,6.4,1,66,152.35,"<0.001"
"C18:0 stearic acid","Age",0.49,0.24,2,66,5.81,"0.005"
"C18:0 stearic acid","Season:Age",7.35,3.68,2,66,87.55,"<0.001"
"C18:1n7 vaccenic acid","Season",2.1,2.1,1,65,57.11,"<0.001"
"C18:1n7 vaccenic acid","Age",0.49,0.24,2,65,6.62,"0.002"
"C18:1n7 vaccenic acid","Season:Age",2.8,1.4,2,65,37.97,"<0.001"
"C18:1n9c oleic acid","Season",4.95,4.95,1,66,131.52,"<0.001"
"C18:1n9c oleic acid","Age",0.48,0.24,2,66,6.35,"0.003"
"C18:1n9c oleic acid","Season:Age",1.93,0.96,2,66,25.65,"<0.001"
"C18:1t elaidic acid","Season",0.01,0.01,1,63,0.87,"0.353"
"C18:1t elaidic acid","Age",0.07,0.03,2,63,2.58,"0.084"
"C18:1t elaidic acid","Season:Age",0,0,2,63,0.08,"0.927"
"C18:2n6c linoleic acid","Season",0.28,0.28,1,63,8.98,"0.004"
"C18:2n6c linoleic acid","Age",0.15,0.08,2,63,2.5,"0.090"
"C18:2n6c linoleic acid","Season:Age",0.58,0.29,2,63,9.43,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","Season",6.12,6.12,1,65,93.86,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","Age",0.73,0.36,2,65,5.6,"0.006"
"C18:3n3 alpha linolenic acid (ALA)","Season:Age",1.7,0.85,2,65,13.01,"<0.001"
"C18:3n6 gamma linolenic (GLA)","Season",0.59,0.59,1,63,37.48,"<0.001"
"C18:3n6 gamma linolenic (GLA)","Age",0.09,0.05,2,63,2.9,"0.062"
"C18:3n6 gamma linolenic (GLA)","Season:Age",0.04,0.02,2,63,1.41,"0.252"
"C18:3n4 octadecatrienoic acid","Season",2.74,2.74,1,66,99.35,"<0.001"
"C18:3n4 octadecatrienoic acid","Age",1.67,0.83,2,66,30.19,"<0.001"
"C18:3n4 octadecatrienoic acid","Season:Age",1.13,0.57,2,66,20.5,"<0.001"
"C18:4n3 stearidonic acid (SDA)","Season",2.43,2.43,1,63,43.63,"<0.001"
"C18:4n3 stearidonic acid (SDA)","Age",0.17,0.09,2,63,1.57,"0.216"
"C18:4n3 stearidonic acid (SDA)","Season:Age",0.17,0.09,2,63,1.53,"0.224"
"C20:0 arachidic acid","Season",2.11,2.11,1,63.03,158.2,"<0.001"
"C20:0 arachidic acid","Age",0.44,0.22,2,63.03,16.37,"<0.001"
"C20:0 arachidic acid","Season:Age",0.25,0.12,2,63.03,9.26,"<0.001"
"C20:1 gadoleic acid","Season",0.19,0.19,1,63,37.6,"<0.001"
"C20:1 gadoleic acid","Age",0.46,0.23,2,63,45.63,"<0.001"
"C20:1 gadoleic acid","Season:Age",0.09,0.05,2,63,9.46,"<0.001"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Season",0.89,0.89,1,63,152.58,"<0.001"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Age",0.06,0.03,2,63,5.11,"0.009"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Season:Age",0,0,2,63,0.1,"0.906"
"C20:4n3 eicosatetraenoic acid","Season",0.82,0.82,1,66,212.68,"<0.001"
"C20:4n3 eicosatetraenoic acid","Age",0.31,0.15,2,66,39.77,"<0.001"
"C20:4n3 eicosatetraenoic acid","Season:Age",0.02,0.01,2,66,2.96,"0.059"
"C20:4n6 arachidonic acid (AA)","Season",15.53,15.53,1,63,324.81,"<0.001"
"C20:4n6 arachidonic acid (AA)","Age",3.15,1.57,2,63,32.93,"<0.001"
"C20:4n6 arachidonic acid (AA)","Season:Age",0.13,0.07,2,63,1.38,"0.258"
"C20:5n3 eicosapentaenoic acid","Season",4.64,4.64,1,63,73.69,"<0.001"
"C20:5n3 eicosapentaenoic acid","Age",1.87,0.93,2,63,14.84,"<0.001"
"C20:5n3 eicosapentaenoic acid","Season:Age",1.16,0.58,2,63,9.22,"<0.001"
"C22:0 behenic acid","Season",1.29,1.29,1,63,168.83,"<0.001"
"C22:0 behenic acid","Age",0.03,0.02,2,63,2.01,"0.142"
"C22:0 behenic acid","Season:Age",0.06,0.03,2,63,4.16,"0.020"
"C22:5n3 docosapentaenoic acid (DPA)","Season",0,0,1,63,0.01,"0.929"
"C22:5n3 docosapentaenoic acid (DPA)","Age",0.95,0.47,2,63,4.46,"0.015"
"C22:5n3 docosapentaenoic acid (DPA)","Season:Age",2.88,1.44,2,63,13.55,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","Season",13.61,13.61,1,66,206.84,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","Age",5.68,2.84,2,66,43.15,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","Season:Age",3.96,1.98,2,66,30.1,"<0.001"
