Age,Season,variable,n,min,max,median,iqr,mean,sd,se,ci
13,Spring/Summer,dry weight g/m2,12,2.461,5.899,4.543,1.301,4.426,1.112,0.321,0.706
13,Spring/Summer,fat g/m2,12,0.02,0.052,0.036,0.017,0.037,0.011,0.003,0.007
13,Spring/Summer,protein g/m2,12,0.108,0.419,0.207,0.06,0.226,0.083,0.024,0.053
13,Spring/Summer,EPA_gm2,12,0.001,0.003,0.001,0.001,0.001,0.001,0,0.001
13,Spring/Summer,SFA_gm2,12,0.008,0.022,0.014,0.006,0.015,0.005,0.001,0.003
13,Spring/Summer,MUFA_gm2,12,0.004,0.009,0.006,0.003,0.006,0.002,0.001,0.001
13,Spring/Summer,PUFA_gm2,12,0.002,0.015,0.006,0.003,0.006,0.003,0.001,0.002
13,Spring/Summer,O3_PUFA_gm2,12,0.001,0.011,0.004,0.002,0.004,0.002,0.001,0.002
13,Autumn/Winter,dry weight g/m2,12,0.351,1.134,0.694,0.343,0.745,0.241,0.07,0.153
13,Autumn/Winter,fat g/m2,12,0,0.003,0.001,0.002,0.001,0.001,0,0.001
13,Autumn/Winter,protein g/m2,12,0.008,0.044,0.019,0.013,0.02,0.011,0.003,0.007
13,Autumn/Winter,EPA_gm2,12,0,0,0,0,0,0,0,0
13,Autumn/Winter,SFA_gm2,12,0,0.001,0,0.001,0.001,0,0,0
13,Autumn/Winter,MUFA_gm2,12,0,0.001,0,0,0,0,0,0
13,Autumn/Winter,PUFA_gm2,12,0,0,0,0,0,0,0,0
13,Autumn/Winter,O3_PUFA_gm2,12,0,0,0,0,0,0,0,0
32,Spring/Summer,dry weight g/m2,12,13.2,24.385,18.678,5.81,19.164,3.762,1.086,2.39
32,Spring/Summer,fat g/m2,12,0.111,0.259,0.129,0.053,0.151,0.049,0.014,0.031
32,Spring/Summer,protein g/m2,12,0.753,3.088,1.305,0.704,1.525,0.741,0.214,0.471
32,Spring/Summer,EPA_gm2,12,0.005,0.019,0.007,0.002,0.009,0.004,0.001,0.003
32,Spring/Summer,SFA_gm2,12,0.036,0.087,0.045,0.019,0.052,0.017,0.005,0.011
32,Spring/Summer,MUFA_gm2,12,0.016,0.04,0.02,0.008,0.023,0.008,0.002,0.005
32,Spring/Summer,PUFA_gm2,12,0.017,0.057,0.024,0.008,0.028,0.013,0.004,0.008
32,Spring/Summer,O3_PUFA_gm2,12,0.012,0.034,0.016,0.005,0.019,0.007,0.002,0.005
32,Autumn/Winter,dry weight g/m2,12,4.497,7.969,5.365,1.011,5.611,0.97,0.28,0.616
32,Autumn/Winter,fat g/m2,12,0.053,0.127,0.086,0.035,0.089,0.025,0.007,0.016
32,Autumn/Winter,protein g/m2,12,0.431,0.789,0.53,0.129,0.55,0.109,0.031,0.069
32,Autumn/Winter,EPA_gm2,12,0.001,0.005,0.003,0.002,0.003,0.001,0,0.001
32,Autumn/Winter,SFA_gm2,12,0.021,0.054,0.03,0.013,0.033,0.01,0.003,0.006
32,Autumn/Winter,MUFA_gm2,12,0.014,0.033,0.022,0.008,0.022,0.006,0.002,0.004
32,Autumn/Winter,PUFA_gm2,12,0.003,0.016,0.01,0.005,0.009,0.004,0.001,0.002
32,Autumn/Winter,O3_PUFA_gm2,12,0.002,0.01,0.006,0.003,0.006,0.003,0.001,0.002
54,Spring/Summer,dry weight g/m2,12,45.651,112.373,85.082,16.938,81.859,19.457,5.617,12.362
54,Spring/Summer,fat g/m2,12,0.274,0.989,0.581,0.123,0.573,0.166,0.048,0.105
54,Spring/Summer,protein g/m2,12,4.074,22.222,11.564,6.148,12.577,5.673,1.638,3.604
54,Spring/Summer,EPA_gm2,12,0.018,0.096,0.048,0.017,0.049,0.019,0.005,0.012
54,Spring/Summer,SFA_gm2,12,0.082,0.31,0.159,0.032,0.166,0.054,0.016,0.034
54,Spring/Summer,MUFA_gm2,12,0.036,0.125,0.069,0.021,0.07,0.022,0.006,0.014
54,Spring/Summer,PUFA_gm2,12,0.058,0.277,0.142,0.036,0.148,0.051,0.015,0.032
54,Spring/Summer,O3_PUFA_gm2,12,0.044,0.178,0.107,0.024,0.107,0.032,0.009,0.02
54,Autumn/Winter,dry weight g/m2,12,6.888,10.227,7.734,0.835,8.003,0.975,0.282,0.62
54,Autumn/Winter,fat g/m2,12,0.087,0.192,0.122,0.039,0.129,0.03,0.009,0.019
54,Autumn/Winter,protein g/m2,12,0.476,0.992,0.696,0.207,0.735,0.159,0.046,0.101
54,Autumn/Winter,EPA_gm2,12,0.001,0.008,0.004,0.003,0.004,0.002,0.001,0.001
54,Autumn/Winter,SFA_gm2,12,0.034,0.068,0.047,0.013,0.049,0.009,0.003,0.006
54,Autumn/Winter,MUFA_gm2,12,0.021,0.052,0.03,0.013,0.033,0.009,0.003,0.006
54,Autumn/Winter,PUFA_gm2,12,0.005,0.026,0.012,0.008,0.014,0.006,0.002,0.004
54,Autumn/Winter,O3_PUFA_gm2,12,0.003,0.018,0.008,0.006,0.009,0.004,0.001,0.003
