name,effect,group,term,estimate,std.error,statistic,df,p.value
Dry~weight~(g~m^-2),fixed,NA,(Intercept),-0.34632390545045233,0.09565651235217526,-3.6204947988841956,2.629565096781777,0.045
Dry~weight~(g~m^-2),fixed,NA,SeasonSpring/Summer,1.8004696802652522,0.09197842782147296,19.574912541013457,62.9999966449002,<0.001
Dry~weight~(g~m^-2),fixed,NA,Age32,2.0585729029604343,0.091978427821473,22.38104033432768,62.999996650442064,<0.001
Dry~weight~(g~m^-2),fixed,NA,Age54,2.4197610777402527,0.091978427821473,26.30791953127234,62.999996642346034,<0.001
Dry~weight~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-0.5781481806974351,0.13007714007088192,-4.44465630457734,62.999996638959814,<0.001
Dry~weight~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,0.5022963863429755,0.13007714007088192,3.861526983674941,62.99999663490575,<0.001
Dry~weight~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.04687158306992329,NA,NA,NA,NA
Dry~weight~(g~m^-2),ran_pars,Location,sd__(Intercept),0.09349776936651276,NA,NA,NA,NA
Dry~weight~(g~m^-2),ran_pars,Residual,sd__Observation,0.22530021550602103,NA,NA,NA,NA
Fat~(g~m^-2),fixed,NA,(Intercept),-6.84802565330787,0.15658972320716283,-43.73228021003758,2.8273308864247007,<0.001
Fat~(g~m^-2),fixed,NA,SeasonSpring/Summer,3.4946281264427057,0.1548552909393309,22.56705667106866,62.999919291010585,<0.001
Fat~(g~m^-2),fixed,NA,Age32,4.395230068793473,0.1548552909393308,28.382821420776875,62.9999192918451,<0.001
Fat~(g~m^-2),fixed,NA,Age54,4.780131152021969,0.1548552909393308,30.868374745392,62.99991929793742,<0.001
Fat~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-2.9776719521883073,0.2189984526516331,-13.596771648998692,62.999919289862014,<0.001
Fat~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,-2.021634371431528,0.2189984526516331,-9.231272399204563,62.99991929123933,<0.001
Fat~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.13257063486444629,NA,NA,NA,NA
Fat~(g~m^-2),ran_pars,Location,sd__(Intercept),0.12756580686887073,NA,NA,NA,NA
Fat~(g~m^-2),ran_pars,Residual,sd__Observation,0.37931644677159543,NA,NA,NA,NA
Protein~(g~m^-2),fixed,NA,(Intercept),-4.079332384507465,0.17380690573814556,-23.47048506031927,2.2217928840055663,0.001
Protein~(g~m^-2),fixed,NA,SeasonSpring/Summer,2.5346654057741955,0.15474092546156626,16.380058463614027,63.00019590717722,<0.001
Protein~(g~m^-2),fixed,NA,Age32,3.465551830921765,0.1547409254615663,22.39583239265633,63.00019590708991,<0.001
Protein~(g~m^-2),fixed,NA,Age54,3.7496816851035266,0.15474092546156626,24.231997281384057,63.00019590560939,<0.001
Protein~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-1.5929407739336472,0.21883671544191116,-7.279129421755936,63.00019591155991,<0.001
Protein~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,0.21364884921477514,0.21883671544191116,0.9762934377046383,63.00019591066484,0.333
Protein~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.05769795532677505,NA,NA,NA,NA
Protein~(g~m^-2),ran_pars,Location,sd__(Intercept),0.18657009387195342,NA,NA,NA,NA
Protein~(g~m^-2),ran_pars,Residual,sd__Observation,0.3790363097068827,NA,NA,NA,NA
EPA~(g~m^-2),fixed,NA,(Intercept),-10.437425715443629,0.18836799845117974,-55.40976068792676,14.013563702488193,<0.001
EPA~(g~m^-2),fixed,NA,SeasonSpring/Summer,3.7677110441012545,0.2170794370257462,17.35637007228093,63.000108809970556,<0.001
EPA~(g~m^-2),fixed,NA,Age32,4.50074826186971,0.21707943702574617,20.733185618755357,63.000108800589196,<0.001
EPA~(g~m^-2),fixed,NA,Age54,4.878203416134764,0.21707943702574617,22.471973775923313,63.00010880066089,<0.001
EPA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-2.6806076217061987,0.30699668395412644,-8.73171523281585,63.00010878298081,<0.001
EPA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,-1.3010797923456814,0.30699668395412644,-4.238090703742252,63.00010880610032,<0.001
EPA~(g~m^-2),ran_pars,Round:Location,sd__(Intercept),0.2183644820770609,NA,NA,NA,NA
EPA~(g~m^-2),ran_pars,Location,sd__(Intercept),1.3608852712139977e-5,NA,NA,NA,NA
EPA~(g~m^-2),ran_pars,Residual,sd__Observation,0.531733854363712,NA,NA,NA,NA
SFA~(g~m^-2),fixed,NA,(Intercept),-7.790874361620826,0.16341277419106146,-47.67604246478168,2.470849091096199,<0.001
SFA~(g~m^-2),fixed,NA,SeasonSpring/Summer,3.5230884777126987,0.15304922654838876,23.019315792483425,62.999999137047354,<0.001
SFA~(g~m^-2),fixed,NA,Age32,4.341967747629879,0.1530492265483888,28.369746424410067,62.99999913580597,<0.001
SFA~(g~m^-2),fixed,NA,Age54,4.751141199305118,0.15304922654838876,31.043222539925576,62.999999139104744,<0.001
SFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age32,-3.0705933727138808,0.2164442918954438,-14.186529687727548,62.99999913567968,<0.001
SFA~(g~m^-2),fixed,NA,SeasonSpring/Summer:Age54,-2.3229436285995213,0.21644429189544376,-10.732293322485258,62.999999135377955,<0.001
