"name","contrast","Season","estimate","SE","df","t.ratio","p.value"
"C12:0 lauric acid","Age13 - Age32","Spring/Summer",0.16,0.09,63,1.82,"0.170"
"C12:0 lauric acid","Age13 - Age54","Spring/Summer",0.06,0.09,63,0.71,"0.759"
"C12:0 lauric acid","Age32 - Age54","Spring/Summer",-0.1,0.09,63,-1.11,"0.509"
"C12:0 lauric acid","Age13 - Age32","Autumn/Winter",0.36,0.09,63,4.02,"<0.001"
"C12:0 lauric acid","Age13 - Age54","Autumn/Winter",0.51,0.09,63,5.72,"<0.001"
"C12:0 lauric acid","Age32 - Age54","Autumn/Winter",0.15,0.09,63,1.71,"0.210"
"C14:0 myristic acid","Age13 - Age32","Spring/Summer",0.43,0.05,63,8.47,"<0.001"
"C14:0 myristic acid","Age13 - Age54","Spring/Summer",0.67,0.05,63,13.07,"<0.001"
"C14:0 myristic acid","Age32 - Age54","Spring/Summer",0.23,0.05,63,4.59,"<0.001"
"C14:0 myristic acid","Age13 - Age32","Autumn/Winter",-0.15,0.05,63,-2.91,"0.014"
"C14:0 myristic acid","Age13 - Age54","Autumn/Winter",0.16,0.05,63,3.08,"0.009"
"C14:0 myristic acid","Age32 - Age54","Autumn/Winter",0.31,0.05,63,5.99,"<0.001"
"C15:0 pentadecanoic acid","Age13 - Age32","Spring/Summer",-0.07,0.05,63,-1.36,"0.367"
"C15:0 pentadecanoic acid","Age13 - Age54","Spring/Summer",-0.23,0.05,63,-4.46,"<0.001"
"C15:0 pentadecanoic acid","Age32 - Age54","Spring/Summer",-0.16,0.05,63,-3.1,"0.008"
"C15:0 pentadecanoic acid","Age13 - Age32","Autumn/Winter",0.18,0.05,63,3.57,"0.002"
"C15:0 pentadecanoic acid","Age13 - Age54","Autumn/Winter",0.18,0.05,63,3.57,"0.002"
"C15:0 pentadecanoic acid","Age32 - Age54","Autumn/Winter",-0,0.05,63,-0,">0.999"
"C16:0 palmitic acid","Age13 - Age32","Spring/Summer",0.2,0.05,63,4.13,"<0.001"
"C16:0 palmitic acid","Age13 - Age54","Spring/Summer",0.49,0.05,63,10.19,"<0.001"
"C16:0 palmitic acid","Age32 - Age54","Spring/Summer",0.29,0.05,63,6.06,"<0.001"
"C16:0 palmitic acid","Age13 - Age32","Autumn/Winter",0.02,0.05,63,0.33,"0.943"
"C16:0 palmitic acid","Age13 - Age54","Autumn/Winter",-0.16,0.05,63,-3.27,"0.005"
"C16:0 palmitic acid","Age32 - Age54","Autumn/Winter",-0.17,0.05,63,-3.59,"0.002"
"C16:1 palmitoleic acid","Age13 - Age32","Spring/Summer",0.4,0.06,63,6.21,"<0.001"
"C16:1 palmitoleic acid","Age13 - Age54","Spring/Summer",1.03,0.06,63,15.92,"<0.001"
"C16:1 palmitoleic acid","Age32 - Age54","Spring/Summer",0.63,0.06,63,9.71,"<0.001"
"C16:1 palmitoleic acid","Age13 - Age32","Autumn/Winter",-0.47,0.06,63,-7.28,"<0.001"
"C16:1 palmitoleic acid","Age13 - Age54","Autumn/Winter",-0.44,0.06,63,-6.84,"<0.001"
"C16:1 palmitoleic acid","Age32 - Age54","Autumn/Winter",0.03,0.06,63,0.44,"0.900"
"C16:2n4 hexadecadienoic acid","Age13 - Age32","Spring/Summer",0.16,0.03,63,4.52,"<0.001"
"C16:2n4 hexadecadienoic acid","Age13 - Age54","Spring/Summer",0.33,0.03,63,9.69,"<0.001"
"C16:2n4 hexadecadienoic acid","Age32 - Age54","Spring/Summer",0.18,0.03,63,5.17,"<0.001"
"C16:2n4 hexadecadienoic acid","Age13 - Age32","Autumn/Winter",0.31,0.03,63,8.98,"<0.001"
"C16:2n4 hexadecadienoic acid","Age13 - Age54","Autumn/Winter",0.63,0.03,63,18.26,"<0.001"
"C16:2n4 hexadecadienoic acid","Age32 - Age54","Autumn/Winter",0.32,0.03,63,9.28,"<0.001"
"C17:0 heptadecanoic acid","Age13 - Age32","Spring/Summer",-0.41,0.05,63,-7.87,"<0.001"
"C17:0 heptadecanoic acid","Age13 - Age54","Spring/Summer",-0.59,0.05,63,-11.41,"<0.001"
"C17:0 heptadecanoic acid","Age32 - Age54","Spring/Summer",-0.18,0.05,63,-3.54,"0.002"
"C17:0 heptadecanoic acid","Age13 - Age32","Autumn/Winter",0.17,0.05,63,3.37,"0.004"
"C17:0 heptadecanoic acid","Age13 - Age54","Autumn/Winter",0.07,0.05,63,1.29,"0.404"
"C17:0 heptadecanoic acid","Age32 - Age54","Autumn/Winter",-0.11,0.05,63,-2.07,"0.104"
"C18:0 stearic acid","Age13 - Age32","Spring/Summer",-0.87,0.08,63,-10.37,"<0.001"
"C18:0 stearic acid","Age13 - Age54","Spring/Summer",-0.83,0.08,63,-9.96,"<0.001"
"C18:0 stearic acid","Age32 - Age54","Spring/Summer",0.03,0.08,63,0.42,"0.909"
"C18:0 stearic acid","Age13 - Age32","Autumn/Winter",0.54,0.08,63,6.43,"<0.001"
"C18:0 stearic acid","Age13 - Age54","Autumn/Winter",0.47,0.08,63,5.58,"<0.001"
"C18:0 stearic acid","Age32 - Age54","Autumn/Winter",-0.07,0.08,63,-0.85,"0.672"
"C18:1n7 vaccenic acid","Age13 - Age32","Spring/Summer",-0.44,0.08,63,-5.67,"<0.001"
"C18:1n7 vaccenic acid","Age13 - Age54","Spring/Summer",-0.65,0.08,63,-8.25,"<0.001"
"C18:1n7 vaccenic acid","Age32 - Age54","Spring/Summer",-0.2,0.08,63,-2.58,"0.032"
"C18:1n7 vaccenic acid","Age13 - Age32","Autumn/Winter",0.31,0.08,63,4.01,"<0.001"
"C18:1n7 vaccenic acid","Age13 - Age54","Autumn/Winter",0.25,0.08,63,3.2,"0.006"
"C18:1n7 vaccenic acid","Age32 - Age54","Autumn/Winter",-0.06,0.08,63,-0.81,"0.696"
"C18:1n9c oleic acid","Age13 - Age32","Spring/Summer",-0.25,0.08,63,-3.15,"0.007"
"C18:1n9c oleic acid","Age13 - Age54","Spring/Summer",-0.26,0.08,63,-3.28,"0.005"
"C18:1n9c oleic acid","Age32 - Age54","Spring/Summer",-0.01,0.08,63,-0.13,"0.991"
"C18:1n9c oleic acid","Age13 - Age32","Autumn/Winter",0.55,0.08,63,6.95,"<0.001"
"C18:1n9c oleic acid","Age13 - Age54","Autumn/Winter",0.18,0.08,63,2.31,"0.061"
"C18:1n9c oleic acid","Age32 - Age54","Autumn/Winter",-0.37,0.08,63,-4.64,"<0.001"
"C18:1t elaidic acid","Age13 - Age32","Spring/Summer",-0.07,0.05,63,-1.48,"0.308"
"C18:1t elaidic acid","Age13 - Age54","Spring/Summer",-0.06,0.05,63,-1.4,"0.346"
"C18:1t elaidic acid","Age32 - Age54","Spring/Summer",0,0.05,63,0.08,"0.997"
"C18:1t elaidic acid","Age13 - Age32","Autumn/Winter",-0.05,0.05,63,-1.09,"0.523"
"C18:1t elaidic acid","Age13 - Age54","Autumn/Winter",-0.07,0.05,63,-1.55,"0.275"
"C18:1t elaidic acid","Age32 - Age54","Autumn/Winter",-0.02,0.05,63,-0.46,"0.891"
"C18:2n6c linoleic acid","Age13 - Age32","Spring/Summer",-0.08,0.07,63,-1.13,"0.502"
"C18:2n6c linoleic acid","Age13 - Age54","Spring/Summer",-0.11,0.07,63,-1.49,"0.305"
"C18:2n6c linoleic acid","Age32 - Age54","Spring/Summer",-0.03,0.07,63,-0.36,"0.932"
"C18:2n6c linoleic acid","Age13 - Age32","Autumn/Winter",0.17,0.07,63,2.41,"0.049"
"C18:2n6c linoleic acid","Age13 - Age54","Autumn/Winter",0.33,0.07,63,4.63,"<0.001"
"C18:2n6c linoleic acid","Age32 - Age54","Autumn/Winter",0.16,0.07,63,2.22,"0.075"
"C18:3n3 alpha linolenic acid (ALA)","Age13 - Age32","Spring/Summer",0.03,0.1,63,0.33,"0.942"
"C18:3n3 alpha linolenic acid (ALA)","Age13 - Age54","Spring/Summer",0.13,0.1,63,1.22,"0.443"
"C18:3n3 alpha linolenic acid (ALA)","Age32 - Age54","Spring/Summer",0.09,0.1,63,0.89,"0.646"
"C18:3n3 alpha linolenic acid (ALA)","Age13 - Age32","Autumn/Winter",-0.28,0.1,63,-2.65,"0.027"
